Sale_ID,Date,Branch,Region,Product_ID,Product,Product_Category,Customer,Payment_Method,Unit_Price,Quantity,Discount,Total_Sales,Cost,Profit
S0001,2026-07-02,Colombo,Western,P018,Dish Wash,Household,Customer_067,Online,1271.88,9.0,0.153,9695.54,7661.58,2033.96
S0002,2026-07-02,Jaffna,Northern,P020,Soap,Household,Customer_085,Card,341.42,4.0,0.067,1274.18,994.99,279.19
S0003,2026-07-04,Colombo,Western,P012,Butter,Dairy,Customer_010,Mobile Wallet,1042.6,7.0,0.002,7283.6,5230.07,2053.53
S0004,2026-07-15,Galle,Southern,P007,Dhal,Groceries,Customer_002,Online,1611.28,10.0,0.049,15323.27,12073.04,3250.23
S0005,2026-07-16,Colombo,Western,P016,Nuts,Snacks,Customer_078,Cash,224.53,8.0,0.043,1719.0,1266.28,452.72
S0006,2026-07-24,Kurunegala,North Western,P005,Rice,Groceries,Customer_100,Cash,309.16,2.0,0.009,612.76,528.24,84.52
S0007,2026-07-20,Jaffna,Northern,P013,Biscuits,Snacks,Customer_072,Mobile Wallet,814.95,8.0,0.122,5724.21,4472.78,1251.43
S0008,2026-07-07,Colombo,Western,P020,Soap,Household,Customer_012,Mobile Wallet,417.65,2.0,0.101,750.93,621.63,129.3
S0009,2026-07-20,Kurunegala,North Western,P004,Mineral Water,Beverages,Customer_063,Online,595.01,1.0,0.122,522.42,427.75,94.67
S0010,2026-07-16,Kandy,Central,P014,Chips,Snacks,Customer_043,Cash,665.77,1.0,0.119,586.54,468.57,117.97
S0011,2026-07-16,Galle,Southern,P020,Soap,Household,Customer_041,Online,,8.0,0.186,7293.24,6145.43,1147.81
S0012,2026-07-05,Galle,Southern,P012,Butter,Dairy,Customer_076,Mobile Wallet,1115.15,8.0,0.161,7484.89,6343.06,1141.83
S0013,2026-07-26,Colombo,Western,P012,Butter,Dairy,Customer_047,Card,1193.12,6.0,0.168,5956.06,4421.26,1534.8
S0014,2026-07-20,Kurunegala,North Western,P011,Cheese,Dairy,Customer_099,Cash,675.35,5.0,0.052,3201.16,2312.04,889.12
S0015,2026-07-05,Colombo,Western,P015,Chocolate,Snacks,Customer_034,Online,524.59,8.0,0.043,4016.26,3460.98,555.28
S0016,2026-07-16,Colombo,Western,P004,Mineral Water,Beverages,Customer_022,Online,194.89,1.0,0.164,162.93,141.59,21.34
S0017,2026-07-11,Kurunegala,North Western,P005,Rice,Groceries,Customer_026,Card,740.23,7.0,0.093,4699.72,3279.93,1419.79
S0018,2026-07-23,Colombo,Western,P015,Chocolate,Snacks,Customer_072,Online,126.83,8.0,0.078,935.5,727.96,207.54
S0019,2026-07-03,Galle,Southern,P009,Milk,Dairy,Customer_011,Online,489.59,2.0,0.172,810.76,663.77,146.99
